nombre,direccion,telefono,instagram,facebook
Rapimecanicos,"Cl. 118 #65-50, Florencia, Medellín, Castilla, Medellín, Antioquia",'+573133997298,https://www.instagram.com/rapimecanicos.co/,https://m.facebook.com/people/Rapimecanica/61564347392530/
Rapimecanicos,"Cl. 118 #65-50, Florencia, Medellín, Castilla, Medellín, Antioquia",'+573133997298,https://www.instagram.com/rapimecanicos.co/,https://m.facebook.com/people/Rapimecanica/61564347392530/
TALLER OFF ROAD,"Cra. 57 #30a 19, Medellín, Belén, Medellín, Antioquia",'+573228952029,https://www.instagram.com/ryhnoss/?hl=es-la,https://www.facebook.com/SStalleroffroad/?locale=es_LA
TALLER OFF ROAD,"Cra. 57 #30a 19, Medellín, Belén, Medellín, Antioquia",'+573228952029,https://www.instagram.com/ryhnoss/?hl=es-la,https://www.facebook.com/SStalleroffroad/?locale=es_LA
Taller Gabriel Amortiguadores,"Cl 44 #67 13, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573137786719,,
Taller Gabriel Amortiguadores,"Cl 44 #67 13, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573137786719,,
Taller Solo Coches,"Cl. 45 #33a17, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",'+5742164981,,
Taller Solo Coches,"Cl. 45 #33a17, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",'+5742164981,,
COLISION EXPRESS DJ,"Cra 44 #29-75, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045576039,,
COLISION EXPRESS DJ,"Cra 44 #29-75, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045576039,,
Taller en Medellín Especialistas en Cajas Automáticas y Electrónica Automotriz. Palencia Motors.🚗,"Cl. 58 #41-12, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573204032554,https://www.instagram.com/palencia.motors/?hl=es-la,https://www.facebook.com/TallerPalenciaMotorsMedellin/
